,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,14733363,0,68,190.0,94.0,29.0,105.0,40.8,231.0
1,14861698,1,20,166.0,60.0,14.0,94.0,40.3,66.0
2,11179863,0,69,179.0,79.0,5.0,88.0,38.7,26.0
3,16180408,1,34,179.0,71.0,13.0,100.0,40.5,71.0
4,17771927,1,27,154.0,58.0,10.0,81.0,39.8,35.0
5,15130815,1,36,151.0,50.0,23.0,96.0,40.7,123.0
6,19602372,1,33,158.0,56.0,22.0,95.0,40.5,112.0
7,11117088,0,41,175.0,85.0,25.0,100.0,40.7,143.0
8,12132339,0,60,186.0,94.0,21.0,97.0,40.4,134.0
9,17964668,1,26,146.0,51.0,16.0,90.0,40.2,72.0
10,13723164,1,36,177.0,76.0,1.0,74.0,37.8,3.0
11,13681290,1,21,157.0,56.0,17.0,100.0,40.0,92.0
12,15566424,0,66,171.0,79.0,11.0,90.0,40.0,58.0
13,12891699,1,32,157.0,54.0,18.0,93.0,40.4,88.0
14,13823829,0,53,182.0,85.0,2.0,82.0,38.1,7.0
15,17557348,1,39,156.0,62.0,28.0,104.0,40.8,170.0
16,12198133,0,39,182.0,82.0,4.0,82.0,38.6,11.0
17,15236104,0,46,169.0,67.0,11.0,89.0,40.2,43.0
18,11042324,1,27,171.0,65.0,4.0,85.0,38.6,15.0
19,16864285,0,50,188.0,86.0,14.0,94.0,40.2,74.0
20,11674347,0,67,189.0,93.0,8.0,77.0,39.2,29.0
21,19797300,1,31,148.0,50.0,8.0,84.0,39.5,32.0
22,14711095,1,33,157.0,60.0,3.0,80.0,38.7,10.0
23,14434854,1,20,165.0,59.0,29.0,100.0,41.0,155.0
24,14893804,0,48,182.0,85.0,1.0,80.0,37.7,3.0
25,17231597,0,29,176.0,75.0,10.0,83.0,39.7,24.0
26,10901446,0,33,173.0,73.0,7.0,78.0,39.3,12.0
27,15874362,0,42,190.0,88.0,3.0,83.0,38.9,10.0
28,15569252,1,62,159.0,59.0,29.0,106.0,41.2,195.0
29,15615743,0,38,171.0,75.0,2.0,81.0,38.2,5.0
30,13363046,0,20,183.0,88.0,16.0,97.0,40.5,69.0
31,17572853,1,25,160.0,59.0,24.0,102.0,40.3,136.0
32,17157339,1,24,165.0,59.0,18.0,91.0,40.2,80.0
33,18328111,1,42,165.0,68.0,22.0,93.0,40.8,107.0
34,19303479,0,22,182.0,84.0,29.0,114.0,41.0,200.0
35,10699201,1,74,158.0,59.0,10.0,93.0,39.6,56.0
36,15283313,1,70,154.0,59.0,10.0,88.0,40.0,50.0
37,16324247,1,26,182.0,80.0,21.0,96.0,40.5,100.0
38,14277710,0,44,184.0,86.0,25.0,114.0,40.8,200.0
39,10888188,0,61,183.0,86.0,1.0,81.0,38.3,4.0
40,13379795,1,68,157.0,57.0,13.0,92.0,40.1,70.0
41,17181524,1,61,176.0,70.0,20.0,104.0,40.5,127.0
42,15988442,0,63,179.0,80.0,25.0,108.0,40.8,197.0
43,19538533,1,54,171.0,66.0,20.0,98.0,40.1,113.0
44,14591877,1,54,169.0,66.0,3.0,80.0,38.9,11.0
45,14274480,1,47,155.0,55.0,16.0,93.0,40.5,82.0
46,16818429,0,33,184.0,86.0,8.0,86.0,39.9,26.0
47,17476522,1,24,171.0,66.0,24.0,105.0,40.6,141.0
48,16369885,0,24,195.0,98.0,20.0,96.0,40.6,92.0
49,17816292,0,48,152.0,59.0,2.0,79.0,38.0,5.0
50,15995398,0,35,193.0,93.0,10.0,83.0,39.7,30.0
51,17615432,0,21,168.0,71.0,3.0,78.0,38.5,3.0
52,10146087,1,21,179.0,73.0,9.0,90.0,39.6,37.0
53,17967445,1,22,158.0,62.0,25.0,105.0,40.6,147.0
54,19670291,1,69,174.0,69.0,2.0,80.0,38.1,8.0
55,10580576,0,53,191.0,101.0,21.0,106.0,40.7,159.0
56,15854213,1,68,155.0,58.0,15.0,100.0,40.3,93.0
57,11138472,1,69,164.0,65.0,23.0,113.0,40.4,173.0
58,18276801,0,28,198.0,101.0,19.0,95.0,40.6,89.0
59,13823902,0,70,188.0,89.0,7.0,82.0,39.3,31.0
60,19222133,1,36,170.0,64.0,9.0,84.0,39.6,35.0
61,13231909,1,77,177.0,80.0,16.0,98.0,40.6,94.0
